vocab_item	vocab_index
SMART:SM00002	0
SMART:SM00003	1
SMART:SM00004	2
SMART:SM00005	3
SMART:SM00006	4
SMART:SM00008	5
SMART:SM00013	6
SMART:SM00014	7
SMART:SM00015	8
SMART:SM00017	9
SMART:SM00018	10
SMART:SM00019	11
SMART:SM00020	12
SMART:SM00021	13
SMART:SM00022	14
SMART:SM00023	15
SMART:SM00025	16
SMART:SM00026	17
SMART:SM00027	18
SMART:SM00028	19
SMART:SM00030	20
SMART:SM00031	21
SMART:SM00032	22
SMART:SM00033	23
SMART:SM00034	24
SMART:SM00035	25
SMART:SM00036	26
SMART:SM00037	27
SMART:SM00038	28
SMART:SM00039	29
SMART:SM00040	30
SMART:SM00041	31
SMART:SM00042	32
SMART:SM00043	33
SMART:SM00044	34
SMART:SM00045	35
SMART:SM00046	36
SMART:SM00047	37
SMART:SM00048	38
SMART:SM00049	39
SMART:SM00050	40
SMART:SM00051	41
SMART:SM00052	42
SMART:SM00053	43
SMART:SM00054	44
SMART:SM00055	45
SMART:SM00057	46
SMART:SM00058	47
SMART:SM00059	48
SMART:SM00060	49
SMART:SM00061	50
SMART:SM00062	51
SMART:SM00063	52
SMART:SM00064	53
SMART:SM00065	54
SMART:SM00066	55
SMART:SM00067	56
SMART:SM00068	57
SMART:SM00069	58
SMART:SM00070	59
SMART:SM00071	60
SMART:SM00072	61
SMART:SM00073	62
SMART:SM00075	63
SMART:SM00076	64
SMART:SM00077	65
SMART:SM00078	66
SMART:SM00079	67
SMART:SM00080	68
SMART:SM00082	69
SMART:SM00084	70
SMART:SM00085	71
SMART:SM00086	72
SMART:SM00087	73
SMART:SM00088	74
SMART:SM00089	75
SMART:SM00090	76
SMART:SM00091	77
SMART:SM00092	78
SMART:SM00093	79
SMART:SM00094	80
SMART:SM00095	81
SMART:SM00097	82
SMART:SM00098	83
SMART:SM00099	84
SMART:SM00100	85
SMART:SM00101	86
SMART:SM00102	87
SMART:SM00103	88
SMART:SM00104	89
SMART:SM00105	90
SMART:SM00107	91
SMART:SM00108	92
SMART:SM00109	93
SMART:SM00110	94
SMART:SM00111	95
SMART:SM00112	96
SMART:SM00113	97
SMART:SM00114	98
SMART:SM00115	99
SMART:SM00116	100
SMART:SM00119	101
SMART:SM00120	102
SMART:SM00121	103
SMART:SM00126	104
SMART:SM00127	105
SMART:SM00128	106
SMART:SM00129	107
SMART:SM00130	108
SMART:SM00131	109
SMART:SM00132	110
SMART:SM00133	111
SMART:SM00134	112
SMART:SM00135	113
SMART:SM00136	114
SMART:SM00137	115
SMART:SM00138	116
SMART:SM00139	117
SMART:SM00140	118
SMART:SM00141	119
SMART:SM00142	120
SMART:SM00143	121
SMART:SM00144	122
SMART:SM00145	123
SMART:SM00146	124
SMART:SM00147	125
SMART:SM00148	126
SMART:SM00149	127
SMART:SM00150	128
SMART:SM00151	129
SMART:SM00152	130
SMART:SM00153	131
SMART:SM00154	132
SMART:SM00155	133
SMART:SM00156	134
SMART:SM00157	135
SMART:SM00159	136
SMART:SM00160	137
SMART:SM00162	138
SMART:SM00164	139
SMART:SM00165	140
SMART:SM00166	141
SMART:SM00167	142
SMART:SM00179	143
SMART:SM00180	144
SMART:SM00181	145
SMART:SM00182	146
SMART:SM00183	147
SMART:SM00184	148
SMART:SM00185	149
SMART:SM00186	150
SMART:SM00187	151
SMART:SM00188	152
SMART:SM00189	153
SMART:SM00190	154
SMART:SM00191	155
SMART:SM00192	156
SMART:SM00193	157
SMART:SM00194	158
SMART:SM00195	159
SMART:SM00197	160
SMART:SM00198	161
SMART:SM00199	162
SMART:SM00200	163
SMART:SM00201	164
SMART:SM00202	165
SMART:SM00203	166
SMART:SM00204	167
SMART:SM00205	168
SMART:SM00206	169
SMART:SM00207	170
SMART:SM00208	171
SMART:SM00209	172
SMART:SM00210	173
SMART:SM00211	174
SMART:SM00213	175
SMART:SM00214	176
SMART:SM00215	177
SMART:SM00216	178
SMART:SM00217	179
SMART:SM00218	180
SMART:SM00219	181
SMART:SM00220	182
SMART:SM00222	183
SMART:SM00223	184
SMART:SM00224	185
SMART:SM00225	186
SMART:SM00226	187
SMART:SM00227	188
SMART:SM00228	189
SMART:SM00229	190
SMART:SM00230	191
SMART:SM00231	192
SMART:SM00232	193
SMART:SM00233	194
SMART:SM00234	195
SMART:SM00235	196
SMART:SM00236	197
SMART:SM00237	198
SMART:SM00238	199
SMART:SM00239	200
SMART:SM00240	201
SMART:SM00241	202
SMART:SM00242	203
SMART:SM00243	204
SMART:SM00244	205
SMART:SM00245	206
SMART:SM00246	207
SMART:SM00247	208
SMART:SM00248	209
SMART:SM00249	210
SMART:SM00250	211
SMART:SM00251	212
SMART:SM00252	213
SMART:SM00253	214
SMART:SM00254	215
SMART:SM00255	216
SMART:SM00256	217
SMART:SM00257	218
SMART:SM00258	219
SMART:SM00259	220
SMART:SM00260	221
SMART:SM00261	222
SMART:SM00262	223
SMART:SM00263	224
SMART:SM00264	225
SMART:SM00265	226
SMART:SM00266	227
SMART:SM00267	228
SMART:SM00268	229
SMART:SM00269	230
SMART:SM00270	231
SMART:SM00271	232
SMART:SM00272	233
SMART:SM00273	234
SMART:SM00274	235
SMART:SM00275	236
SMART:SM00276	237
SMART:SM00277	238
SMART:SM00278	239
SMART:SM00279	240
SMART:SM00280	241
SMART:SM00281	242
SMART:SM00282	243
SMART:SM00283	244
SMART:SM00284	245
SMART:SM00285	246
SMART:SM00287	247
SMART:SM00288	248
SMART:SM00289	249
SMART:SM00290	250
SMART:SM00291	251
SMART:SM00292	252
SMART:SM00293	253
SMART:SM00294	254
SMART:SM00295	255
SMART:SM00297	256
SMART:SM00298	257
SMART:SM00299	258
SMART:SM00300	259
SMART:SM00301	260
SMART:SM00302	261
SMART:SM00303	262
SMART:SM00304	263
SMART:SM00305	264
SMART:SM00306	265
SMART:SM00307	266
SMART:SM00308	267
SMART:SM00309	268
SMART:SM00310	269
SMART:SM00311	270
SMART:SM00312	271
SMART:SM00313	272
SMART:SM00314	273
SMART:SM00315	274
SMART:SM00316	275
SMART:SM00317	276
SMART:SM00318	277
SMART:SM00319	278
SMART:SM00320	279
SMART:SM00321	280
SMART:SM00322	281
SMART:SM00323	282
SMART:SM00324	283
SMART:SM00325	284
SMART:SM00326	285
SMART:SM00327	286
SMART:SM00328	287
SMART:SM00329	288
SMART:SM00330	289
SMART:SM00331	290
SMART:SM00332	291
SMART:SM00333	292
SMART:SM00335	293
SMART:SM00336	294
SMART:SM00338	295
SMART:SM00339	296
SMART:SM00340	297
SMART:SM00341	298
SMART:SM00342	299
SMART:SM00343	300
SMART:SM00344	301
SMART:SM00345	302
SMART:SM00346	303
SMART:SM00347	304
SMART:SM00348	305
SMART:SM00349	306
SMART:SM00350	307
SMART:SM00351	308
SMART:SM00352	309
SMART:SM00353	310
SMART:SM00354	311
SMART:SM00355	312
SMART:SM00356	313
SMART:SM00357	314
SMART:SM00358	315
SMART:SM00359	316
SMART:SM00360	317
SMART:SM00361	318
SMART:SM00363	319
SMART:SM00367	320
SMART:SM00369	321
SMART:SM00380	322
SMART:SM00382	323
SMART:SM00384	324
SMART:SM00385	325
SMART:SM00386	326
SMART:SM00387	327
SMART:SM00388	328
SMART:SM00389	329
SMART:SM00390	330
SMART:SM00391	331
SMART:SM00392	332
SMART:SM00393	333
SMART:SM00394	334
SMART:SM00396	335
SMART:SM00397	336
SMART:SM00398	337
SMART:SM00399	338
SMART:SM00400	339
SMART:SM00401	340
SMART:SM00404	341
SMART:SM00406	342
SMART:SM00407	343
SMART:SM00408	344
SMART:SM00409	345
SMART:SM00411	346
SMART:SM00412	347
SMART:SM00413	348
SMART:SM00414	349
SMART:SM00415	350
SMART:SM00417	351
SMART:SM00418	352
SMART:SM00419	353
SMART:SM00420	354
SMART:SM00421	355
SMART:SM00422	356
SMART:SM00423	357
SMART:SM00424	358
SMART:SM00425	359
SMART:SM00426	360
SMART:SM00427	361
SMART:SM00428	362
SMART:SM00429	363
SMART:SM00430	364
SMART:SM00431	365
SMART:SM00432	366
SMART:SM00433	367
SMART:SM00434	368
SMART:SM00435	369
SMART:SM00436	370
SMART:SM00437	371
SMART:SM00438	372
SMART:SM00439	373
SMART:SM00440	374
SMART:SM00441	375
SMART:SM00442	376
SMART:SM00443	377
SMART:SM00444	378
SMART:SM00445	379
SMART:SM00446	380
SMART:SM00448	381
