vocab_item	vocab_index
PANTHER:PTHR10000:SF21	0
PANTHER:PTHR10003	1
PANTHER:PTHR10003:SF35	2
PANTHER:PTHR10005	3
PANTHER:PTHR10005:SF15	4
PANTHER:PTHR10005:SF3	5
PANTHER:PTHR10005:SF7	6
PANTHER:PTHR10005:SF8	7
PANTHER:PTHR10009	8
PANTHER:PTHR10009:SF14	9
PANTHER:PTHR10010	10
PANTHER:PTHR10010:SF21	11
PANTHER:PTHR10010:SF23	12
PANTHER:PTHR10010:SF35	13
PANTHER:PTHR10012	14
PANTHER:PTHR10015	15
PANTHER:PTHR10015:SF142	16
PANTHER:PTHR10015:SF148	17
PANTHER:PTHR10015:SF176	18
PANTHER:PTHR10015:SF185	19
PANTHER:PTHR10015:SF215	20
PANTHER:PTHR10015:SF256	21
PANTHER:PTHR10019	22
PANTHER:PTHR10024:SF10	23
PANTHER:PTHR10024:SF11	24
PANTHER:PTHR10024:SF113	25
PANTHER:PTHR10024:SF114	26
PANTHER:PTHR10024:SF115	27
PANTHER:PTHR10024:SF116	28
PANTHER:PTHR10024:SF118	29
PANTHER:PTHR10024:SF13	30
PANTHER:PTHR10024:SF176	31
PANTHER:PTHR10024:SF180	32
PANTHER:PTHR10024:SF204	33
PANTHER:PTHR10024:SF206	34
PANTHER:PTHR10024:SF209	35
PANTHER:PTHR10024:SF222	36
PANTHER:PTHR10024:SF223	37
PANTHER:PTHR10024:SF229	38
PANTHER:PTHR10024:SF233	39
PANTHER:PTHR10024:SF234	40
PANTHER:PTHR10024:SF239	41
PANTHER:PTHR10024:SF244	42
PANTHER:PTHR10024:SF249	43
PANTHER:PTHR10024:SF250	44
PANTHER:PTHR10024:SF252	45
PANTHER:PTHR10024:SF257	46
PANTHER:PTHR10024:SF282	47
PANTHER:PTHR10024:SF343	48
PANTHER:PTHR10024:SF348	49
PANTHER:PTHR10024:SF45	50
PANTHER:PTHR10024:SF46	51
PANTHER:PTHR10024:SF5	52
PANTHER:PTHR10024:SF9	53
PANTHER:PTHR10025	54
PANTHER:PTHR10026:SF101	55
PANTHER:PTHR10026:SF42	56
PANTHER:PTHR10026:SF43	57
PANTHER:PTHR10026:SF64	58
PANTHER:PTHR10026:SF68	59
PANTHER:PTHR10026:SF7	60
PANTHER:PTHR10026:SF70	61
PANTHER:PTHR10027:SF28	62
PANTHER:PTHR10027:SF33	63
PANTHER:PTHR10029	64
PANTHER:PTHR10030	65
PANTHER:PTHR10030:SF2	66
PANTHER:PTHR10031	67
PANTHER:PTHR10032	68
PANTHER:PTHR10033	69
PANTHER:PTHR10035	70
PANTHER:PTHR10036:SF10	71
PANTHER:PTHR10036:SF11	72
PANTHER:PTHR10036:SF9	73
PANTHER:PTHR10037:SF137	74
PANTHER:PTHR10037:SF139	75
PANTHER:PTHR10037:SF14	76
PANTHER:PTHR10037:SF161	77
PANTHER:PTHR10037:SF184	78
PANTHER:PTHR10037:SF186	79
PANTHER:PTHR10037:SF189	80
PANTHER:PTHR10037:SF190	81
PANTHER:PTHR10037:SF208	82
PANTHER:PTHR10037:SF209	83
PANTHER:PTHR10037:SF210	84
PANTHER:PTHR10037:SF214	85
PANTHER:PTHR10037:SF216	86
PANTHER:PTHR10037:SF221	87
PANTHER:PTHR10037:SF225	88
PANTHER:PTHR10037:SF231	89
PANTHER:PTHR10037:SF57	90
PANTHER:PTHR10037:SF92	91
PANTHER:PTHR10039	92
PANTHER:PTHR10041	93
PANTHER:PTHR10044:SF134	94
PANTHER:PTHR10046	95
PANTHER:PTHR10048	96
PANTHER:PTHR10050	97
PANTHER:PTHR10052	98
PANTHER:PTHR10057	99
PANTHER:PTHR10057:SF5	100
PANTHER:PTHR10058	101
PANTHER:PTHR10059	102
PANTHER:PTHR10060	103
PANTHER:PTHR10061	104
PANTHER:PTHR10063	105
PANTHER:PTHR10064	106
PANTHER:PTHR10064:SF1	107
PANTHER:PTHR10066:SF76	108
PANTHER:PTHR10067	109
PANTHER:PTHR10070	110
PANTHER:PTHR10071	111
PANTHER:PTHR10071:SF106	112
PANTHER:PTHR10071:SF149	113
PANTHER:PTHR10071:SF176	114
PANTHER:PTHR10071:SF190	115
PANTHER:PTHR10073	116
PANTHER:PTHR10073:SF40	117
PANTHER:PTHR10073:SF43	118
PANTHER:PTHR10073:SF7	119
PANTHER:PTHR10075:SF12	120
PANTHER:PTHR10075:SF4	121
PANTHER:PTHR10075:SF5	122
PANTHER:PTHR10075:SF7	123
PANTHER:PTHR10077	124
PANTHER:PTHR10078:SF24	125
PANTHER:PTHR10078:SF25	126
PANTHER:PTHR10082	127
PANTHER:PTHR10082:SF11	128
PANTHER:PTHR10082:SF15	129
PANTHER:PTHR10082:SF25	130
PANTHER:PTHR10082:SF26	131
PANTHER:PTHR10082:SF28	132
PANTHER:PTHR10082:SF3	133
PANTHER:PTHR10082:SF36	134
PANTHER:PTHR10082:SF42	135
PANTHER:PTHR10082:SF9	136
PANTHER:PTHR10083:SF166	137
PANTHER:PTHR10083:SF18	138
PANTHER:PTHR10083:SF212	139
PANTHER:PTHR10083:SF317	140
PANTHER:PTHR10083:SF87	141
PANTHER:PTHR10088	142
PANTHER:PTHR10088:SF5	143
PANTHER:PTHR10093	144
PANTHER:PTHR10094	145
PANTHER:PTHR10098:SF112	146
PANTHER:PTHR10099:SF5	147
PANTHER:PTHR10102	148
PANTHER:PTHR10104	149
PANTHER:PTHR10104:SF17	150
PANTHER:PTHR10104:SF18	151
PANTHER:PTHR10104:SF6	152
PANTHER:PTHR10106:SF0	153
PANTHER:PTHR10106:SF12	154
PANTHER:PTHR10106:SF14	155
PANTHER:PTHR10108	156
PANTHER:PTHR10109	157
PANTHER:PTHR10110	158
PANTHER:PTHR10110:SF101	159
PANTHER:PTHR10110:SF117	160
PANTHER:PTHR10110:SF59	161
PANTHER:PTHR10110:SF61	162
PANTHER:PTHR10110:SF87	163
PANTHER:PTHR10110:SF88	164
PANTHER:PTHR10113	165
PANTHER:PTHR10114	166
PANTHER:PTHR10117	167
PANTHER:PTHR10117:SF24	168
PANTHER:PTHR10117:SF25	169
PANTHER:PTHR10117:SF56	170
PANTHER:PTHR10117:SF6	171
PANTHER:PTHR10117:SF7	172
PANTHER:PTHR10117:SF8	173
PANTHER:PTHR10117:SF9	174
PANTHER:PTHR10120	175
PANTHER:PTHR10121	176
PANTHER:PTHR10122	177
PANTHER:PTHR10125:SF12	178
PANTHER:PTHR10125:SF13	179
PANTHER:PTHR10125:SF21	180
PANTHER:PTHR10125:SF25	181
PANTHER:PTHR10125:SF8	182
PANTHER:PTHR10125:SF9	183
PANTHER:PTHR10126	184
PANTHER:PTHR10129	185
PANTHER:PTHR10129:SF10	186
PANTHER:PTHR10129:SF15	187
PANTHER:PTHR10129:SF24	188
PANTHER:PTHR10129:SF25	189
PANTHER:PTHR10129:SF26	190
PANTHER:PTHR10129:SF30	191
