vocab_item	vocab_index
Pfam:PF00001	0
Pfam:PF00002	1
Pfam:PF00003	2
Pfam:PF00004	3
Pfam:PF00005	4
Pfam:PF00006	5
Pfam:PF00007	6
Pfam:PF00008	7
Pfam:PF00009	8
Pfam:PF00010	9
Pfam:PF00011	10
Pfam:PF00012	11
Pfam:PF00013	12
Pfam:PF00014	13
Pfam:PF00015	14
Pfam:PF00016	15
Pfam:PF00017	16
Pfam:PF00018	17
Pfam:PF00019	18
Pfam:PF00020	19
Pfam:PF00021	20
Pfam:PF00022	21
Pfam:PF00023	22
Pfam:PF00024	23
Pfam:PF00025	24
Pfam:PF00026	25
Pfam:PF00027	26
Pfam:PF00028	27
Pfam:PF00029	28
Pfam:PF00030	29
Pfam:PF00031	30
Pfam:PF00032	31
Pfam:PF00033	32
Pfam:PF00034	33
Pfam:PF00035	34
Pfam:PF00036	35
Pfam:PF00037	36
Pfam:PF00038	37
Pfam:PF00039	38
Pfam:PF00040	39
Pfam:PF00041	40
Pfam:PF00042	41
Pfam:PF00043	42
Pfam:PF00044	43
Pfam:PF00045	44
Pfam:PF00046	45
Pfam:PF00047	46
Pfam:PF00048	47
Pfam:PF00049	48
Pfam:PF00050	49
Pfam:PF00051	50
Pfam:PF00052	51
Pfam:PF00053	52
Pfam:PF00054	53
Pfam:PF00055	54
Pfam:PF00056	55
Pfam:PF00057	56
Pfam:PF00058	57
Pfam:PF00059	58
Pfam:PF00060	59
Pfam:PF00061	60
Pfam:PF00062	61
Pfam:PF00063	62
Pfam:PF00064	63
Pfam:PF00066	64
Pfam:PF00067	65
Pfam:PF00068	66
Pfam:PF00069	67
Pfam:PF00071	68
Pfam:PF00072	69
Pfam:PF00073	70
Pfam:PF00074	71
Pfam:PF00075	72
Pfam:PF00076	73
Pfam:PF00077	74
Pfam:PF00078	75
Pfam:PF00079	76
Pfam:PF00080	77
Pfam:PF00081	78
Pfam:PF00082	79
Pfam:PF00083	80
Pfam:PF00084	81
Pfam:PF00085	82
Pfam:PF00086	83
Pfam:PF00087	84
Pfam:PF00088	85
Pfam:PF00089	86
Pfam:PF00090	87
Pfam:PF00091	88
Pfam:PF00092	89
Pfam:PF00093	90
Pfam:PF00094	91
Pfam:PF00095	92
Pfam:PF00096	93
Pfam:PF00097	94
Pfam:PF00098	95
Pfam:PF00100	96
Pfam:PF00101	97
Pfam:PF00102	98
Pfam:PF00103	99
Pfam:PF00104	100
Pfam:PF00105	101
Pfam:PF00106	102
Pfam:PF00107	103
Pfam:PF00108	104
Pfam:PF00109	105
Pfam:PF00110	106
Pfam:PF00111	107
Pfam:PF00112	108
Pfam:PF00113	109
Pfam:PF00114	110
Pfam:PF00115	111
Pfam:PF00116	112
Pfam:PF00117	113
Pfam:PF00118	114
Pfam:PF00119	115
Pfam:PF00120	116
Pfam:PF00121	117
Pfam:PF00123	118
Pfam:PF00124	119
Pfam:PF00125	120
Pfam:PF00126	121
Pfam:PF00127	122
Pfam:PF00128	123
Pfam:PF00129	124
Pfam:PF00130	125
Pfam:PF00131	126
Pfam:PF00132	127
Pfam:PF00133	128
Pfam:PF00134	129
Pfam:PF00135	130
Pfam:PF00136	131
Pfam:PF00137	132
Pfam:PF00139	133
Pfam:PF00140	134
Pfam:PF00141	135
Pfam:PF00142	136
Pfam:PF00143	137
Pfam:PF00144	138
Pfam:PF00145	139
Pfam:PF00146	140
Pfam:PF00147	141
Pfam:PF00148	142
Pfam:PF00149	143
Pfam:PF00150	144
Pfam:PF00151	145
Pfam:PF00152	146
Pfam:PF00153	147
Pfam:PF00154	148
Pfam:PF00155	149
Pfam:PF00156	150
Pfam:PF00157	151
Pfam:PF00158	152
Pfam:PF00159	153
Pfam:PF00160	154
Pfam:PF00161	155
Pfam:PF00162	156
Pfam:PF00163	157
Pfam:PF00164	158
Pfam:PF00165	159
Pfam:PF00166	160
Pfam:PF00167	161
Pfam:PF00168	162
Pfam:PF00169	163
Pfam:PF00170	164
Pfam:PF00171	165
Pfam:PF00172	166
Pfam:PF00173	167
Pfam:PF00174	168
Pfam:PF00175	169
Pfam:PF00176	170
Pfam:PF00177	171
Pfam:PF00178	172
Pfam:PF00179	173
Pfam:PF00180	174
Pfam:PF00181	175
Pfam:PF00182	176
Pfam:PF00183	177
Pfam:PF00184	178
Pfam:PF00185	179
Pfam:PF00186	180
Pfam:PF00187	181
Pfam:PF00188	182
Pfam:PF00189	183
Pfam:PF00190	184
Pfam:PF00191	185
Pfam:PF00193	186
Pfam:PF00194	187
Pfam:PF00195	188
Pfam:PF00196	189
Pfam:PF00197	190
Pfam:PF00198	191
Pfam:PF00199	192
Pfam:PF00200	193
Pfam:PF00201	194
Pfam:PF00202	195
Pfam:PF00203	196
Pfam:PF00204	197
Pfam:PF00205	198
Pfam:PF00206	199
Pfam:PF00207	200
Pfam:PF00208	201
Pfam:PF00209	202
Pfam:PF00210	203
Pfam:PF00211	204
Pfam:PF00212	205
Pfam:PF00213	206
Pfam:PF00214	207
Pfam:PF00215	208
Pfam:PF00216	209
Pfam:PF00217	210
Pfam:PF00218	211
Pfam:PF00219	212
Pfam:PF00220	213
Pfam:PF00221	214
Pfam:PF00223	215
Pfam:PF00224	216
Pfam:PF00225	217
Pfam:PF00226	218
Pfam:PF00227	219
Pfam:PF00228	220
Pfam:PF00229	221
Pfam:PF00230	222
Pfam:PF00231	223
Pfam:PF00232	224
Pfam:PF00233	225
Pfam:PF00234	226
Pfam:PF00235	227
Pfam:PF00236	228
Pfam:PF00237	229
Pfam:PF00238	230
Pfam:PF00239	231
Pfam:PF00240	232
Pfam:PF00241	233
Pfam:PF00242	234
Pfam:PF00243	235
Pfam:PF00244	236
Pfam:PF00245	237
Pfam:PF00246	238
Pfam:PF00248	239
Pfam:PF00249	240
Pfam:PF00250	241
Pfam:PF00251	242
Pfam:PF00252	243
Pfam:PF00253	244
Pfam:PF00254	245
Pfam:PF00255	246
Pfam:PF00257	247
Pfam:PF00258	248
Pfam:PF00260	249
Pfam:PF00261	250
Pfam:PF00262	251
Pfam:PF00263	252
Pfam:PF00264	253
Pfam:PF00265	254
Pfam:PF00266	255
Pfam:PF00267	256
Pfam:PF00268	257
Pfam:PF00269	258
Pfam:PF00270	259
Pfam:PF00271	260
Pfam:PF00272	261
Pfam:PF00273	262
Pfam:PF00274	263
Pfam:PF00275	264
Pfam:PF00276	265
Pfam:PF00277	266
Pfam:PF00278	267
Pfam:PF00280	268
Pfam:PF00281	269
Pfam:PF00282	270
Pfam:PF00283	271
Pfam:PF00284	272
Pfam:PF00285	273
Pfam:PF00286	274
Pfam:PF00287	275
Pfam:PF00288	276
Pfam:PF00289	277
Pfam:PF00290	278
Pfam:PF00291	279
Pfam:PF00292	280
Pfam:PF00293	281
Pfam:PF00294	282
Pfam:PF00295	283
Pfam:PF00296	284
Pfam:PF00297	285
Pfam:PF00298	286
Pfam:PF00299	287
Pfam:PF00300	288
Pfam:PF00301	289
Pfam:PF00302	290
Pfam:PF00303	291
Pfam:PF00305	292
Pfam:PF00306	293
Pfam:PF00307	294
Pfam:PF00308	295
Pfam:PF00309	296
Pfam:PF00310	297
Pfam:PF00311	298
Pfam:PF00312	299
Pfam:PF00313	300
Pfam:PF00314	301
Pfam:PF00316	302
Pfam:PF00317	303
Pfam:PF00318	304
Pfam:PF00319	305
Pfam:PF00320	306
Pfam:PF00321	307
Pfam:PF00322	308
Pfam:PF00323	309
Pfam:PF00324	310
Pfam:PF00325	311
Pfam:PF00326	312
Pfam:PF00327	313
Pfam:PF00328	314
Pfam:PF00329	315
Pfam:PF00330	316
Pfam:PF00331	317
Pfam:PF00332	318
Pfam:PF00333	319
Pfam:PF00334	320
Pfam:PF00335	321
Pfam:PF00336	322
Pfam:PF00337	323
Pfam:PF00338	324
Pfam:PF00339	325
Pfam:PF00340	326
Pfam:PF00341	327
Pfam:PF00342	328
Pfam:PF00343	329
Pfam:PF00344	330
Pfam:PF00345	331
Pfam:PF00346	332
Pfam:PF00347	333
Pfam:PF00348	334
Pfam:PF00349	335
Pfam:PF00350	336
Pfam:PF00351	337
Pfam:PF00352	338
Pfam:PF00353	339
Pfam:PF00354	340
Pfam:PF00355	341
Pfam:PF00356	342
Pfam:PF00357	343
Pfam:PF00358	344
Pfam:PF00359	345
Pfam:PF00360	346
Pfam:PF00361	347
Pfam:PF00362	348
Pfam:PF00363	349
Pfam:PF00364	350
Pfam:PF00365	351
Pfam:PF00366	352
Pfam:PF00367	353
Pfam:PF00368	354
Pfam:PF00370	355
Pfam:PF00372	356
Pfam:PF00373	357
Pfam:PF00374	358
Pfam:PF00375	359
Pfam:PF00376	360
Pfam:PF00377	361
Pfam:PF00378	362
Pfam:PF00379	363
Pfam:PF00380	364
Pfam:PF00381	365
Pfam:PF00382	366
Pfam:PF00383	367
Pfam:PF00384	368
Pfam:PF00385	369
Pfam:PF00386	370
Pfam:PF00387	371
Pfam:PF00388	372
Pfam:PF00389	373
Pfam:PF00390	374
Pfam:PF00391	375
Pfam:PF00392	376
Pfam:PF00393	377
Pfam:PF00394	378
Pfam:PF00395	379
Pfam:PF00396	380
Pfam:PF00397	381
Pfam:PF00398	382
Pfam:PF00399	383
Pfam:PF00400	384
Pfam:PF00401	385
Pfam:PF00402	386
Pfam:PF00403	387
Pfam:PF00404	388
Pfam:PF00405	389
Pfam:PF00407	390
Pfam:PF00408	391
Pfam:PF00410	392
Pfam:PF00411	393
Pfam:PF00412	394
Pfam:PF00413	395
Pfam:PF00414	396
Pfam:PF00415	397
Pfam:PF00416	398
Pfam:PF00418	399
Pfam:PF00419	400
Pfam:PF00420	401
Pfam:PF00421	402
Pfam:PF00423	403
Pfam:PF00424	404
Pfam:PF00425	405
Pfam:PF00426	406
Pfam:PF00427	407
Pfam:PF00429	408
Pfam:PF00430	409
Pfam:PF00431	410
Pfam:PF00432	411
Pfam:PF00433	412
Pfam:PF00434	413
Pfam:PF00435	414
Pfam:PF00436	415
Pfam:PF00437	416
Pfam:PF00438	417
Pfam:PF00439	418
Pfam:PF00440	419
Pfam:PF00441	420
Pfam:PF00443	421
Pfam:PF00444	422
Pfam:PF00445	423
Pfam:PF00446	424
Pfam:PF00447	425
Pfam:PF00448	426
Pfam:PF00449	427
Pfam:PF00450	428
Pfam:PF00451	429
Pfam:PF00452	430
Pfam:PF00453	431
Pfam:PF00454	432
Pfam:PF00455	433
Pfam:PF00456	434
Pfam:PF00457	435
Pfam:PF00458	436
Pfam:PF00459	437
Pfam:PF00460	438
Pfam:PF00462	439
Pfam:PF00463	440
Pfam:PF00464	441
Pfam:PF00465	442
Pfam:PF00466	443
Pfam:PF00467	444
Pfam:PF00468	445
Pfam:PF00469	446
Pfam:PF00471	447
Pfam:PF00472	448
Pfam:PF00473	449
Pfam:PF00474	450
Pfam:PF00475	451
Pfam:PF00476	452
Pfam:PF00477	453
Pfam:PF00478	454
Pfam:PF00479	455
Pfam:PF00480	456
Pfam:PF00481	457
Pfam:PF00482	458
Pfam:PF00483	459
Pfam:PF00484	460
Pfam:PF00485	461
Pfam:PF00486	462
Pfam:PF00487	463
Pfam:PF00488	464
Pfam:PF00489	465
Pfam:PF00490	466
Pfam:PF00491	467
Pfam:PF00493	468
Pfam:PF00496	469
Pfam:PF00497	470
Pfam:PF00498	471
Pfam:PF00499	472
Pfam:PF00500	473
Pfam:PF00501	474
Pfam:PF00502	475
Pfam:PF00503	476
Pfam:PF00504	477
Pfam:PF00505	478
Pfam:PF00506	479
Pfam:PF00507	480
Pfam:PF00508	481
Pfam:PF00509	482
Pfam:PF00510	483
Pfam:PF00511	484
Pfam:PF00512	485
Pfam:PF00513	486
Pfam:PF00514	487
Pfam:PF00515	488
Pfam:PF00516	489
Pfam:PF00517	490
Pfam:PF00518	491
Pfam:PF00519	492
Pfam:PF00520	493
Pfam:PF00521	494
Pfam:PF00522	495
Pfam:PF00523	496
Pfam:PF00524	497
Pfam:PF00525	498
Pfam:PF00526	499
Pfam:PF00527	500
Pfam:PF00528	501
Pfam:PF00529	502
Pfam:PF00530	503
Pfam:PF00531	504
Pfam:PF00532	505
Pfam:PF00533	506
Pfam:PF00534	507
Pfam:PF00535	508
Pfam:PF00536	509
Pfam:PF00537	510
Pfam:PF00538	511
Pfam:PF00539	512
Pfam:PF00540	513
Pfam:PF00541	514
Pfam:PF00542	515
Pfam:PF00543	516
Pfam:PF00544	517
Pfam:PF00545	518
Pfam:PF00547	519
Pfam:PF00548	520
Pfam:PF00549	521
Pfam:PF00550	522
Pfam:PF00551	523
Pfam:PF00552	524
Pfam:PF00553	525
Pfam:PF00554	526
Pfam:PF00555	527
Pfam:PF00556	528
Pfam:PF00557	529
Pfam:PF00558	530
Pfam:PF00559	531
Pfam:PF00560	532
Pfam:PF00561	533
Pfam:PF00562	534
Pfam:PF00563	535
Pfam:PF00564	536
Pfam:PF00565	537
Pfam:PF00566	538
Pfam:PF00567	539
Pfam:PF00568	540
Pfam:PF00569	541
Pfam:PF00570	542
Pfam:PF00571	543
Pfam:PF00572	544
Pfam:PF00573	545
Pfam:PF00574	546
Pfam:PF00575	547
Pfam:PF00576	548
Pfam:PF00577	549
Pfam:PF00578	550
Pfam:PF00579	551
Pfam:PF00580	552
Pfam:PF00581	553
Pfam:PF00582	554
Pfam:PF00583	555
Pfam:PF00584	556
Pfam:PF00585	557
Pfam:PF00586	558
Pfam:PF00587	559
Pfam:PF00588	560
Pfam:PF00589	561
Pfam:PF00590	562
Pfam:PF00591	563
Pfam:PF00593	564
Pfam:PF00594	565
Pfam:PF00595	566
Pfam:PF00596	567
Pfam:PF00598	568
Pfam:PF00599	569
Pfam:PF00600	570
Pfam:PF00601	571
Pfam:PF00602	572
Pfam:PF00603	573
Pfam:PF00604	574
Pfam:PF00605	575
Pfam:PF00607	576
Pfam:PF00608	577
Pfam:PF00609	578
Pfam:PF00610	579
Pfam:PF00611	580
Pfam:PF00612	581
Pfam:PF00613	582
Pfam:PF00614	583
Pfam:PF00615	584
Pfam:PF00616	585
Pfam:PF00617	586
Pfam:PF00618	587
Pfam:PF00619	588
Pfam:PF00620	589
Pfam:PF00621	590
Pfam:PF00622	591
Pfam:PF00623	592
Pfam:PF00624	593
Pfam:PF00625	594
Pfam:PF00626	595
Pfam:PF00627	596
Pfam:PF00628	597
Pfam:PF00629	598
Pfam:PF00630	599
Pfam:PF00631	600
Pfam:PF00632	601
Pfam:PF00633	602
Pfam:PF00634	603
Pfam:PF00635	604
Pfam:PF00636	605
Pfam:PF00637	606
Pfam:PF00638	607
Pfam:PF00639	608
Pfam:PF00640	609
Pfam:PF00641	610
Pfam:PF00642	611
Pfam:PF00643	612
Pfam:PF00644	613
Pfam:PF00645	614
Pfam:PF00646	615
Pfam:PF00647	616
Pfam:PF00648	617
Pfam:PF00649	618
Pfam:PF00650	619
Pfam:PF00651	620
Pfam:PF00652	621
Pfam:PF00653	622
Pfam:PF00654	623
Pfam:PF00657	624
Pfam:PF00658	625
Pfam:PF00659	626
Pfam:PF00660	627
Pfam:PF00661	628
Pfam:PF00662	629
Pfam:PF00664	630
Pfam:PF00665	631
Pfam:PF00667	632
Pfam:PF00668	633
Pfam:PF00669	634
Pfam:PF00670	635
Pfam:PF00672	636
Pfam:PF00673	637
Pfam:PF00674	638
Pfam:PF00675	639
Pfam:PF00676	640
Pfam:PF00677	641
Pfam:PF00679	642
Pfam:PF00680	643
Pfam:PF00681	644
Pfam:PF00682	645
Pfam:PF00683	646
Pfam:PF00684	647
Pfam:PF00685	648
Pfam:PF00686	649
Pfam:PF00687	650
Pfam:PF00688	651
Pfam:PF00689	652
Pfam:PF00690	653
Pfam:PF00691	654
Pfam:PF00692	655
Pfam:PF00693	656
Pfam:PF00694	657
Pfam:PF00695	658
Pfam:PF00696	659
Pfam:PF00697	660
Pfam:PF00698	661
Pfam:PF00699	662
Pfam:PF00700	663
Pfam:PF00701	664
Pfam:PF00703	665
Pfam:PF00704	666
Pfam:PF00705	667
Pfam:PF00706	668
Pfam:PF00707	669
Pfam:PF00708	670
Pfam:PF00709	671
Pfam:PF00710	672
Pfam:PF00711	673
Pfam:PF00712	674
Pfam:PF00713	675
Pfam:PF00714	676
Pfam:PF00715	677
Pfam:PF00716	678
Pfam:PF00717	679
Pfam:PF00718	680
Pfam:PF00719	681
Pfam:PF00720	682
Pfam:PF00721	683
Pfam:PF00722	684
Pfam:PF00723	685
Pfam:PF00724	686
Pfam:PF00725	687
Pfam:PF00726	688
Pfam:PF00727	689
Pfam:PF00728	690
Pfam:PF00729	691
Pfam:PF00730	692
Pfam:PF00731	693
Pfam:PF00732	694
Pfam:PF00733	695
Pfam:PF00734	696
Pfam:PF00735	697
Pfam:PF00736	698
Pfam:PF00737	699
Pfam:PF00738	700
Pfam:PF00739	701
Pfam:PF00740	702
Pfam:PF00741	703
Pfam:PF00742	704
Pfam:PF00743	705
Pfam:PF00745	706
Pfam:PF00746	707
Pfam:PF00747	708
Pfam:PF00748	709
Pfam:PF00749	710
Pfam:PF00750	711
Pfam:PF00751	712
Pfam:PF00752	713
Pfam:PF00753	714
Pfam:PF00754	715
Pfam:PF00755	716
Pfam:PF00756	717
Pfam:PF00757	718
