vocab_item	vocab_index
SUPFAM:SSF100879	0
SUPFAM:SSF100895	1
SUPFAM:SSF100909	2
SUPFAM:SSF100910	3
SUPFAM:SSF100920	4
SUPFAM:SSF100934	5
SUPFAM:SSF100939	6
SUPFAM:SSF100950	7
SUPFAM:SSF100957	8
SUPFAM:SSF100966	9
SUPFAM:SSF100985	10
SUPFAM:SSF101059	11
SUPFAM:SSF101089	12
SUPFAM:SSF101112	13
SUPFAM:SSF101116	14
SUPFAM:SSF101125	15
SUPFAM:SSF101148	16
SUPFAM:SSF101152	17
SUPFAM:SSF101160	18
SUPFAM:SSF101166	19
SUPFAM:SSF101173	20
SUPFAM:SSF101215	21
SUPFAM:SSF101224	22
SUPFAM:SSF101233	23
SUPFAM:SSF101238	24
SUPFAM:SSF101257	25
SUPFAM:SSF101262	26
SUPFAM:SSF101278	27
SUPFAM:SSF101288	28
SUPFAM:SSF101307	29
SUPFAM:SSF101312	30
SUPFAM:SSF101322	31
SUPFAM:SSF101327	32
SUPFAM:SSF101332	33
SUPFAM:SSF101353	34
SUPFAM:SSF101399	35
SUPFAM:SSF101420	36
SUPFAM:SSF101473	37
SUPFAM:SSF101478	38
SUPFAM:SSF101489	39
SUPFAM:SSF101494	40
SUPFAM:SSF101498	41
SUPFAM:SSF101542	42
SUPFAM:SSF101546	43
SUPFAM:SSF101576	44
SUPFAM:SSF101596	45
SUPFAM:SSF101690	46
SUPFAM:SSF101697	47
SUPFAM:SSF101738	48
SUPFAM:SSF101744	49
SUPFAM:SSF101751	50
SUPFAM:SSF101756	51
SUPFAM:SSF101790	52
SUPFAM:SSF101801	53
SUPFAM:SSF101816	54
SUPFAM:SSF101852	55
SUPFAM:SSF101874	56
SUPFAM:SSF101887	57
SUPFAM:SSF101904	58
SUPFAM:SSF101912	59
SUPFAM:SSF101931	60
SUPFAM:SSF101936	61
SUPFAM:SSF101941	62
SUPFAM:SSF101960	63
SUPFAM:SSF102031	64
SUPFAM:SSF102110	65
SUPFAM:SSF102198	66
SUPFAM:SSF102215	67
SUPFAM:SSF102220	68
SUPFAM:SSF102324	69
SUPFAM:SSF102400	70
SUPFAM:SSF102414	71
SUPFAM:SSF102462	72
SUPFAM:SSF102522	73
SUPFAM:SSF102546	74
SUPFAM:SSF102588	75
SUPFAM:SSF102645	76
SUPFAM:SSF102705	77
SUPFAM:SSF102735	78
SUPFAM:SSF102741	79
SUPFAM:SSF102816	80
SUPFAM:SSF102824	81
SUPFAM:SSF102829	82
SUPFAM:SSF102848	83
SUPFAM:SSF102860	84
SUPFAM:SSF102886	85
SUPFAM:SSF102891	86
SUPFAM:SSF103007	87
SUPFAM:SSF103032	88
SUPFAM:SSF103039	89
SUPFAM:SSF103054	90
SUPFAM:SSF103063	91
SUPFAM:SSF103068	92
SUPFAM:SSF103084	93
SUPFAM:SSF103088	94
SUPFAM:SSF103111	95
SUPFAM:SSF103145	96
SUPFAM:SSF103190	97
SUPFAM:SSF103243	98
SUPFAM:SSF103247	99
SUPFAM:SSF103256	100
SUPFAM:SSF103263	101
SUPFAM:SSF103277	102
SUPFAM:SSF103359	103
SUPFAM:SSF103365	104
SUPFAM:SSF103370	105
SUPFAM:SSF103378	106
SUPFAM:SSF103383	107
SUPFAM:SSF103388	108
SUPFAM:SSF103417	109
SUPFAM:SSF103431	110
SUPFAM:SSF103446	111
SUPFAM:SSF103451	112
SUPFAM:SSF103456	113
SUPFAM:SSF103464	114
SUPFAM:SSF103473	115
SUPFAM:SSF103486	116
SUPFAM:SSF103491	117
SUPFAM:SSF103501	118
SUPFAM:SSF103506	119
SUPFAM:SSF103515	120
SUPFAM:SSF103565	121
SUPFAM:SSF103612	122
SUPFAM:SSF103637	123
SUPFAM:SSF103647	124
SUPFAM:SSF103657	125
SUPFAM:SSF103661	126
SUPFAM:SSF109631	127
SUPFAM:SSF109635	128
SUPFAM:SSF109640	129
SUPFAM:SSF109728	130
SUPFAM:SSF109732	131
SUPFAM:SSF109747	132
SUPFAM:SSF109751	133
SUPFAM:SSF109770	134
SUPFAM:SSF109779	135
SUPFAM:SSF109801	136
SUPFAM:SSF109805	137
SUPFAM:SSF109843	138
SUPFAM:SSF109854	139
SUPFAM:SSF109859	140
SUPFAM:SSF109880	141
SUPFAM:SSF109885	142
SUPFAM:SSF109905	143
SUPFAM:SSF109910	144
SUPFAM:SSF109915	145
SUPFAM:SSF109920	146
SUPFAM:SSF109925	147
SUPFAM:SSF109993	148
SUPFAM:SSF109998	149
SUPFAM:SSF110004	150
SUPFAM:SSF110009	151
SUPFAM:SSF110014	152
SUPFAM:SSF110019	153
SUPFAM:SSF110035	154
SUPFAM:SSF110069	155
SUPFAM:SSF110083	156
SUPFAM:SSF110087	157
SUPFAM:SSF110111	158
SUPFAM:SSF110132	159
SUPFAM:SSF110217	160
SUPFAM:SSF110221	161
SUPFAM:SSF110304	162
SUPFAM:SSF110391	163
SUPFAM:SSF110395	164
SUPFAM:SSF110581	165
SUPFAM:SSF110710	166
SUPFAM:SSF110738	167
SUPFAM:SSF110783	168
SUPFAM:SSF110814	169
SUPFAM:SSF110836	170
SUPFAM:SSF110849	171
SUPFAM:SSF110857	172
SUPFAM:SSF110921	173
SUPFAM:SSF110942	174
SUPFAM:SSF110993	175
SUPFAM:SSF110997	176
SUPFAM:SSF111006	177
SUPFAM:SSF111038	178
SUPFAM:SSF111057	179
SUPFAM:SSF111064	180
SUPFAM:SSF111069	181
SUPFAM:SSF111126	182
SUPFAM:SSF111148	183
SUPFAM:SSF111249	184
SUPFAM:SSF111278	185
SUPFAM:SSF111283	186
SUPFAM:SSF111304	187
SUPFAM:SSF111321	188
SUPFAM:SSF111326	189
SUPFAM:SSF111331	190
SUPFAM:SSF111337	191
SUPFAM:SSF111342	192
SUPFAM:SSF111347	193
SUPFAM:SSF111357	194
SUPFAM:SSF111364	195
SUPFAM:SSF111379	196
SUPFAM:SSF111388	197
SUPFAM:SSF111418	198
SUPFAM:SSF111423	199
SUPFAM:SSF111430	200
SUPFAM:SSF116726	201
SUPFAM:SSF116742	202
SUPFAM:SSF116768	203
SUPFAM:SSF116820	204
SUPFAM:SSF116846	205
SUPFAM:SSF116915	206
SUPFAM:SSF116922	207
SUPFAM:SSF116927	208
SUPFAM:SSF116942	209
SUPFAM:SSF117018	210
SUPFAM:SSF117066	211
SUPFAM:SSF117100	212
SUPFAM:SSF117130	213
SUPFAM:SSF117143	214
SUPFAM:SSF117281	215
SUPFAM:SSF117396	216
SUPFAM:SSF117457	217
SUPFAM:SSF117773	218
SUPFAM:SSF117778	219
SUPFAM:SSF117782	220
SUPFAM:SSF117839	221
SUPFAM:SSF117892	222
SUPFAM:SSF117916	223
SUPFAM:SSF117991	224
SUPFAM:SSF118001	225
SUPFAM:SSF118010	226
SUPFAM:SSF118116	227
SUPFAM:SSF118173	228
SUPFAM:SSF118196	229
SUPFAM:SSF118203	230
SUPFAM:SSF118208	231
SUPFAM:SSF118215	232
SUPFAM:SSF118220	233
SUPFAM:SSF118251	234
SUPFAM:SSF118290	235
SUPFAM:SSF118310	236
SUPFAM:SSF118352	237
SUPFAM:SSF118370	238
SUPFAM:SSF140102	239
SUPFAM:SSF140106	240
SUPFAM:SSF140111	241
SUPFAM:SSF140125	242
SUPFAM:SSF140129	243
SUPFAM:SSF140319	244
SUPFAM:SSF140356	245
SUPFAM:SSF140367	246
SUPFAM:SSF140371	247
SUPFAM:SSF140376	248
SUPFAM:SSF140404	249
SUPFAM:SSF140415	250
SUPFAM:SSF140423	251
SUPFAM:SSF140427	252
SUPFAM:SSF140453	253
SUPFAM:SSF140478	254
SUPFAM:SSF140482	255
SUPFAM:SSF140490	256
SUPFAM:SSF140496	257
SUPFAM:SSF140500	258
SUPFAM:SSF140506	259
SUPFAM:SSF140566	260
SUPFAM:SSF140570	261
SUPFAM:SSF140576	262
SUPFAM:SSF140586	263
SUPFAM:SSF140612	264
SUPFAM:SSF140652	265
SUPFAM:SSF140663	266
SUPFAM:SSF140670	267
SUPFAM:SSF140683	268
SUPFAM:SSF140688	269
SUPFAM:SSF140693	270
SUPFAM:SSF140713	271
SUPFAM:SSF140718	272
SUPFAM:SSF140726	273
SUPFAM:SSF140741	274
SUPFAM:SSF140746	275
SUPFAM:SSF140804	276
SUPFAM:SSF140809	277
SUPFAM:SSF140864	278
SUPFAM:SSF140869	279
SUPFAM:SSF140919	280
