vocab_item	vocab_index
PRINTS:PR00001	0
PRINTS:PR00002	1
PRINTS:PR00003	2
PRINTS:PR00004	3
PRINTS:PR00005	4
PRINTS:PR00006	5
PRINTS:PR00007	6
PRINTS:PR00008	7
PRINTS:PR00015	8
PRINTS:PR00020	9
PRINTS:PR00022	10
PRINTS:PR00023	11
PRINTS:PR00024	12
PRINTS:PR00025	13
PRINTS:PR00026	14
PRINTS:PR00027	15
PRINTS:PR00028	16
PRINTS:PR00029	17
PRINTS:PR00030	18
PRINTS:PR00031	19
PRINTS:PR00032	20
PRINTS:PR00033	21
PRINTS:PR00034	22
PRINTS:PR00035	23
PRINTS:PR00036	24
PRINTS:PR00037	25
PRINTS:PR00038	26
PRINTS:PR00039	27
PRINTS:PR00040	28
PRINTS:PR00041	29
PRINTS:PR00042	30
PRINTS:PR00043	31
PRINTS:PR00044	32
PRINTS:PR00045	33
PRINTS:PR00046	34
PRINTS:PR00047	35
PRINTS:PR00050	36
PRINTS:PR00051	37
PRINTS:PR00052	38
PRINTS:PR00053	39
PRINTS:PR00054	40
PRINTS:PR00055	41
PRINTS:PR00056	42
PRINTS:PR00057	43
PRINTS:PR00058	44
PRINTS:PR00059	45
PRINTS:PR00060	46
PRINTS:PR00061	47
PRINTS:PR00062	48
PRINTS:PR00063	49
PRINTS:PR00064	50
PRINTS:PR00065	51
PRINTS:PR00066	52
PRINTS:PR00067	53
PRINTS:PR00068	54
PRINTS:PR00069	55
PRINTS:PR00071	56
PRINTS:PR00072	57
PRINTS:PR00073	58
PRINTS:PR00074	59
PRINTS:PR00075	60
PRINTS:PR00076	61
PRINTS:PR00077	62
PRINTS:PR00078	63
PRINTS:PR00079	64
PRINTS:PR00080	65
PRINTS:PR00081	66
PRINTS:PR00082	67
PRINTS:PR00083	68
PRINTS:PR00084	69
PRINTS:PR00085	70
PRINTS:PR00086	71
PRINTS:PR00087	72
PRINTS:PR00088	73
PRINTS:PR00089	74
PRINTS:PR00090	75
PRINTS:PR00092	76
PRINTS:PR00093	77
PRINTS:PR00094	78
PRINTS:PR00095	79
PRINTS:PR00098	80
PRINTS:PR00100	81
PRINTS:PR00101	82
PRINTS:PR00102	83
PRINTS:PR00104	84
PRINTS:PR00105	85
PRINTS:PR00106	86
PRINTS:PR00107	87
PRINTS:PR00108	88
PRINTS:PR00109	89
PRINTS:PR00110	90
PRINTS:PR00111	91
PRINTS:PR00112	92
PRINTS:PR00113	93
PRINTS:PR00114	94
PRINTS:PR00115	95
PRINTS:PR00116	96
PRINTS:PR00117	97
PRINTS:PR00118	98
PRINTS:PR00120	99
PRINTS:PR00122	100
PRINTS:PR00123	101
PRINTS:PR00124	102
PRINTS:PR00125	103
PRINTS:PR00126	104
PRINTS:PR00127	105
PRINTS:PR00128	106
PRINTS:PR00129	107
PRINTS:PR00130	108
PRINTS:PR00131	109
PRINTS:PR00132	110
PRINTS:PR00133	111
PRINTS:PR00134	112
PRINTS:PR00135	113
PRINTS:PR00136	114
PRINTS:PR00137	115
PRINTS:PR00138	116
PRINTS:PR00139	117
PRINTS:PR00141	118
PRINTS:PR00142	119
PRINTS:PR00143	120
PRINTS:PR00144	121
PRINTS:PR00146	122
PRINTS:PR00147	123
PRINTS:PR00148	124
PRINTS:PR00149	125
PRINTS:PR00150	126
PRINTS:PR00151	127
PRINTS:PR00152	128
PRINTS:PR00153	129
PRINTS:PR00154	130
PRINTS:PR00155	131
PRINTS:PR00156	132
PRINTS:PR00157	133
PRINTS:PR00158	134
PRINTS:PR00160	135
PRINTS:PR00161	136
PRINTS:PR00162	137
PRINTS:PR00163	138
PRINTS:PR00164	139
PRINTS:PR00165	140
PRINTS:PR00166	141
PRINTS:PR00167	142
PRINTS:PR00168	143
PRINTS:PR00169	144
PRINTS:PR00170	145
PRINTS:PR00171	146
PRINTS:PR00174	147
PRINTS:PR00175	148
PRINTS:PR00176	149
PRINTS:PR00177	150
PRINTS:PR00178	151
PRINTS:PR00181	152
PRINTS:PR00182	153
PRINTS:PR00183	154
PRINTS:PR00184	155
PRINTS:PR00185	156
PRINTS:PR00186	157
PRINTS:PR00187	158
