vocab_item	vocab_index
InterPro:IPR000001	0
InterPro:IPR000003	1
InterPro:IPR000006	2
InterPro:IPR000007	3
InterPro:IPR000008	4
InterPro:IPR000009	5
InterPro:IPR000010	6
InterPro:IPR000011	7
InterPro:IPR000012	8
InterPro:IPR000013	9
InterPro:IPR000014	10
InterPro:IPR000015	11
InterPro:IPR000018	12
InterPro:IPR000020	13
InterPro:IPR000021	14
InterPro:IPR000023	15
InterPro:IPR000025	16
InterPro:IPR000026	17
InterPro:IPR000028	18
InterPro:IPR000030	19
InterPro:IPR000031	20
InterPro:IPR000032	21
InterPro:IPR000033	22
InterPro:IPR000034	23
InterPro:IPR000035	24
InterPro:IPR000036	25
InterPro:IPR000037	26
InterPro:IPR000039	27
InterPro:IPR000040	28
InterPro:IPR000043	29
InterPro:IPR000044	30
InterPro:IPR000045	31
InterPro:IPR000046	32
InterPro:IPR000047	33
InterPro:IPR000048	34
InterPro:IPR000049	35
InterPro:IPR000052	36
InterPro:IPR000053	37
InterPro:IPR000054	38
InterPro:IPR000055	39
InterPro:IPR000056	40
InterPro:IPR000057	41
InterPro:IPR000058	42
InterPro:IPR000059	43
InterPro:IPR000060	44
InterPro:IPR000061	45
InterPro:IPR000064	46
InterPro:IPR000065	47
InterPro:IPR000066	48
InterPro:IPR000067	49
InterPro:IPR000068	50
InterPro:IPR000069	51
InterPro:IPR000070	52
InterPro:IPR000071	53
InterPro:IPR000072	54
InterPro:IPR000073	55
InterPro:IPR000074	56
InterPro:IPR000076	57
InterPro:IPR000077	58
InterPro:IPR000079	59
InterPro:IPR000081	60
InterPro:IPR000082	61
InterPro:IPR000083	62
InterPro:IPR000084	63
InterPro:IPR000085	64
InterPro:IPR000086	65
InterPro:IPR000089	66
InterPro:IPR000090	67
InterPro:IPR000091	68
InterPro:IPR000092	69
InterPro:IPR000093	70
InterPro:IPR000095	71
InterPro:IPR000096	72
InterPro:IPR000098	73
InterPro:IPR000100	74
InterPro:IPR000101	75
InterPro:IPR000102	76
InterPro:IPR000103	77
